Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
7,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
7,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
7,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
7,MMPA_V1_v15tb_10,/vdd!,,,,
7,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
7,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
7,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
7,MMPA_V1_v15tb_01,hb_comp_curve,,,,
7,MMPA_V1_v15tb_01,hb_ocp1dbm_value,6.373,,,
7,MMPA_V1_v15tb_01,hb_peakPAE_value,8.712,,,
7,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,17.17,> 18,,near
7,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,5.172,,,
7,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
7,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
7,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
7,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
7,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
7,MMPA_V1_v15tb_01,/vdd!,,,,
7,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
7,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.35G,,,,,,
8,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.26,,,
8,MMPA_V1_v15tb_11,hb_peakPAE_value,25.33,,,
8,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,17.45,> 18,,near
8,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,10.31,,,
8,MMPA_V1_v15tb_11,hb_comp_curve,,,,
8,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
8,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
8,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
8,MMPA_V1_v15tb_10,hb_comp_curve,,,,
8,MMPA_V1_v15tb_10,hb_ocp1dbm_value,12.63,,,
8,MMPA_V1_v15tb_10,hb_peakPAE_value,22.13,,,
8,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,17.57,> 18,,near
8,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,16.28,,,
8,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
8,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
8,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
8,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
8,MMPA_V1_v15tb_10,/vdd!,,,,
8,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
8,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
8,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
8,MMPA_V1_v15tb_01,hb_comp_curve,,,,
8,MMPA_V1_v15tb_01,hb_ocp1dbm_value,5.739,,,
8,MMPA_V1_v15tb_01,hb_peakPAE_value,8.653,,,
