,,Parameter,Nominal,,,,,,FF_0,FF_1,FF_2,FS_0,FS_1,FS_2,SF_0,SF_1,SF_2,SS_0,SS_1,SS_2,MC_0,MC_1,MC_2
,,temperature,27,,,,,,-40,27,125,-40,27,125,-40,27,125,-40,27,125,-40,27,125
,,toplevel.scs,tt_lib,,,,,,ff_lib,ff_lib,ff_lib,fs_lib,fs_lib,fs_lib,sf_lib,sf_lib,sf_lib,ss_lib,ss_lib,ss_lib,mc_lib,mc_lib,mc_lib

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,FF_0,FF_1,FF_2,FS_0,FS_1,FS_2,SF_0,SF_1,SF_2,SS_0,SS_1,SS_2,MC_0,MC_1,MC_2
3,MMPA_V1_v15tb_01,hb_comp_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_01,hb_ocp1dbm_value,1.653,,,,-1.228,3.543,2.837,1.181,-1.228,3.08,1.517,-802.7e-3,3.052,1.615,-507.3e-3,3.543,2.133,119.8e-3,3.146,1.653,-603.4e-3
3,MMPA_V1_v15tb_01,hb_peakPAE_value,8.302,,,,4.101,11.98,11.97,8.591,4.858,11.98,8.773,5.02,10.4,7.663,4.463,9.721,7.107,4.101,11.28,8.302,4.776
3,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,18.07,> 18,,fail,11.79,22.21,22.21,19.46,15.48,21.4,18.62,14.63,20.17,17.34,13.42,18.54,15.71,11.79,20.87,18.07,14.11
3,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,1.729,,,,782e-3,3.152,1.75,1.274,782e-3,2.077,1.542,962.1e-3,2.522,1.902,1.215,3.152,2.386,1.534,2.312,1.729,1.087
3,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_01,hb_PAE_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_01,/VDD/PLUS,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_01,/vdd!,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_01,/INPUT_NODE,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,,,,,,,,,,,,,,,,,,

