Point,"hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_comp_curve","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
182,12.363266481265,25.8386232028047,18.5342322167286,-5.16469633885471,12.1313809622357,wave,wave,wave,wave
183,11.9723053182309,24.5429054534819,18.9093733616795,-5.94340708846044,9.18812323480159,wave,wave,wave,wave
184,11.5584730969509,23.620518253475,18.1562629066558,-5.60697870102099,9.05621746415707,wave,wave,wave,wave
185,12.0038042259456,24.9257799406095,18.6679048437071,-5.66754561315714,9.75019360674203,wave,wave,wave,wave
186,11.8319254646083,23.7228205742336,19.1410724069498,-6.31009292264344,8.51405220316981,wave,wave,wave,wave
187,11.9065539888082,23.999038746134,18.7519090571806,-5.83908462780127,8.69355494309415,wave,wave,wave,wave
188,11.6152963262915,22.2720346182077,18.877740967547,-6.27822806449437,7.93603135971436,wave,wave,wave,wave
189,11.8604889580652,24.77753098035,18.3156348313756,-5.45938345545199,10.0324581664657,wave,wave,wave,wave
190,11.7376391585723,24.2645905239012,17.9129577771054,-5.17897576707895,10.2763667891728,wave,wave,wave,wave
191,12.0199667533902,25.5070411906209,18.5572917435604,-5.54219119029538,10.3463886973731,wave,wave,wave,wave
192,11.6427068080172,24.2695579642789,17.5780770095556,-4.94508421330316,9.99091676831329,wave,wave,wave,wave
193,11.9915382321186,24.4019046661685,18.8767002349605,-5.8838432751544,9.18558855674718,wave,wave,wave,wave
194,11.8661101143719,24.8464066628648,18.4611288398871,-5.60625388120142,9.70404214053482,wave,wave,wave,wave
195,11.4213493595889,23.0009227013817,17.8415572641795,-5.43301887732549,8.69468144672424,wave,wave,wave,wave
196,11.6932743377021,23.8404886783646,18.4128703840415,-5.7256431298592,9.24168786578195,wave,wave,wave,wave
197,11.7349521500734,23.7686464866226,18.5778267926483,-5.84275718496919,8.76369999395261,wave,wave,wave,wave
198,11.6703863549185,23.5493095981258,18.4198012691624,-5.75549500480169,8.77441503335242,wave,wave,wave,wave
199,12.1839308045133,24.8599110344868,18.8959335329608,-5.70560157877141,9.59132983535858,wave,wave,wave,wave
200,11.8938627817441,24.7473829765318,18.3738900657545,-5.48278022903633,10.1101513021253,wave,wave,wave,wave
201,11.5441987047305,24.0578420784844,17.6328489533753,-5.10798494136394,9.27833264223054,wave,wave,wave,wave
202,11.9745911807848,24.687909961839,19.2956740734054,-6.31706743226749,9.06391460118487,wave,wave,wave,wave
203,11.6279587164301,23.9232518117247,18.0670580930231,-5.44552616239101,9.34107421268115,wave,wave,wave,wave
204,11.8050098790745,24.2977199401628,18.175895752148,-5.36847443526514,9.92410746474757,wave,wave,wave,wave
205,11.5332440497351,21.8463379000027,18.772621562864,-6.24613893738744,7.43139879034526,wave,wave,wave,wave
206,12.1593048545021,25.4296688307507,19.1285426932571,-5.96246298091052,9.93538185771428,wave,wave,wave,wave
207,11.8933190625217,24.2214684920748,18.4916862080357,-5.59932021747605,9.40532691395263,wave,wave,wave,wave
208,11.8719360933708,24.2935210314616,18.7595264142191,-5.89601874368268,9.33362015622012,wave,wave,wave,wave
209,11.9045258707967,24.473895699141,19.0266793774662,-6.12234275410646,8.85082146277398,wave,wave,wave,wave
210,11.578049091147,23.1351255067747,18.4679659716518,-5.8963146093664,8.57784694489452,wave,wave,wave,wave
211,11.8099211043851,25.117465031377,17.8196805532794,-5.02563112549365,10.6256378420068,wave,wave,wave,wave
212,11.8678735679051,24.9003866427628,18.3646078344772,-5.50389796465098,10.2324048078311,wave,wave,wave,wave
213,12.3025416554941,25.1589236233734,18.8209353227107,-5.50201208581079,9.93965561644307,wave,wave,wave,wave
