Point,"hb_comp_curve","hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
284,wave,10.2759363853831,20.1756822658637,18.4513262795075,-7.15084505423294,9.71187929165291,wave,wave,wave
285,wave,10.3759614854355,21.3845313914376,19.2455205721344,-7.83937390701828,9.46851808382181,wave,wave,wave
286,wave,10.1586505424479,20.5807964621905,18.7957217007521,-7.59581514513628,8.69218529581388,wave,wave,wave
287,wave,10.4199349467151,21.2877173749971,18.7773084065078,-7.32859450150924,10.3442440204211,wave,wave,wave
288,wave,10.4197302231424,21.1340881840453,19.0367173112933,-7.58523064905318,9.69890370064821,wave,wave,wave
289,wave,10.2894806186787,20.5860781185038,18.1393091730097,-6.83073481137303,10.669626734296,wave,wave,wave
290,wave,10.3452851600026,20.4885226627605,18.6426674739208,-7.26416802427287,9.65734915220805,wave,wave,wave
291,wave,10.4597259450218,21.6877512933942,19.4903376781738,-8.00221571069595,9.63815944490004,wave,wave,wave
292,wave,10.1512626133148,20.7312205845382,18.5648650278563,-7.38508352417533,9.60373964358917,wave,wave,wave
293,wave,10.4423376671285,21.4885152720356,18.8297583793857,-7.3543423579346,9.96993422903425,wave,wave,wave
294,wave,10.5196103515681,20.8170280369382,18.5571928958978,-7.01903051647971,10.6215741835674,wave,wave,wave
295,wave,10.3323390022275,21.0675150669371,18.7111236164332,-7.33816806205979,9.33378270280918,wave,wave,wave
296,wave,10.7382758585925,20.6505281203286,18.6547662699791,-6.9089701962883,10.6872099882438,wave,wave,wave
297,wave,10.3756854982155,21.2346403706729,18.848447388478,-7.4359156008466,9.96780246029357,wave,wave,wave
298,wave,10.216795078681,20.5348068286555,18.0840127918803,-6.84003660750742,10.5205709758201,wave,wave,wave
299,wave,10.2662711563166,20.9243822439696,19.3116973922257,-8.01771257858749,8.8101131058192,wave,wave,wave
300,wave,10.4988636968309,20.3451284806098,17.549206272892,-6.01759199189344,11.1518957057119,wave,wave,wave
301,wave,10.1513180710458,20.4220866773501,18.2729976263904,-7.08775297817818,9.38706858010682,wave,wave,wave
302,wave,10.4799412570505,21.5827255302277,19.1729450052121,-7.65774412941119,9.97803753331699,wave,wave,wave
303,wave,10.2466877341145,20.5095567889254,18.5852303200065,-7.31626564035981,9.724836779266,wave,wave,wave
304,wave,10.1585993070539,20.187511479973,19.1066179635703,-7.90126448599589,8.03200401005216,wave,wave,wave
305,wave,10.4881783993539,21.5467530676072,19.1558106517352,-7.64254538083797,10.271489917144,wave,wave,wave
306,wave,10.4383620044021,21.2299448229785,18.86461354057,-7.40193881298349,10.6098196069551,wave,wave,wave
307,wave,10.3812481467943,21.1295422283267,18.4770424786519,-7.05798087028481,9.4240283910212,wave,wave,wave
308,wave,10.167732755565,20.1135083430778,18.5397685337271,-7.34079419178397,9.14186683942669,wave,wave,wave
309,wave,10.2372665003261,20.4585556708517,18.0446119968866,-6.79103054542197,11.4328490136373,wave,wave,wave
310,wave,10.3818186588525,21.0144882930264,18.9672827113339,-7.54719823190905,9.47087790696172,wave,wave,wave
311,wave,10.4214137206226,21.2883854449105,18.9324506266605,-7.48002521458081,9.6298513845912,wave,wave,wave
312,wave,10.1799534443143,20.817269363656,19.2019394680922,-7.97214877021512,7.92689187301972,wave,wave,wave
313,wave,10.484142866808,20.8390095822013,18.8390020761749,-7.33786626742458,10.1674414490837,wave,wave,wave
314,wave,10.5732418818318,21.5474997153271,18.9683700226184,-7.3661983531799,10.4490203183906,wave,wave,wave
315,wave,10.4135753933449,21.1442208438618,18.9711535589552,-7.53086948152075,9.89404744134893,wave,wave,wave
316,wave,10.4038752602751,21.35179475133,18.9015865785315,-7.46453154478323,10.0314907215719,wave,wave,wave
317,wave,10.2463902958467,20.3678202132015,18.1761159129496,-6.89749932156834,9.95563693164154,wave,wave,wave
318,wave,10.3324780105907,20.6284801792838,17.9737628934377,-6.61502491221234,10.8313763267279,wave,wave,wave
319,wave,10.3742626558228,21.7475449132888,19.6863934852233,-8.28114587210613,9.33758761653073,wave,wave,wave
320,wave,10.3734301974722,20.9980128515613,18.6422824044346,-7.23048475562101,9.72376803644701,wave,wave,wave
321,wave,10.6110438893509,21.0424087971023,19.178318949641,-7.55381958314035,10.0626225278148,wave,wave,wave
322,wave,10.3958672423592,21.268559720115,18.7360934519551,-7.3039012075622,9.91030359541536,wave,wave,wave
323,wave,10.1730221098938,20.0432008939262,17.7458627945512,-6.55962556769388,11.0390778420668,wave,wave,wave
324,wave,10.4941458439744,21.172842289584,18.6741647557453,-7.15521878847397,10.7635500596593,wave,wave,wave
325,wave,10.2586818031127,20.9538189179449,19.3906621293835,-8.09406424597531,8.73553867832478,wave,wave,wave
326,wave,10.3154724785818,21.4328340500331,18.8238051591325,-7.47049937009542,9.27821343724093,wave,wave,wave
327,wave,10.3688597069218,21.1036602897748,18.8666169070539,-7.46859250275773,9.89466872107274,wave,wave,wave
328,wave,10.3067224467602,20.6993667355128,18.4800092101161,-7.153079343667,10.473582769937,wave,wave,wave
329,wave,10.3785677212765,21.3350035990536,19.1133404633731,-7.69886355035249,9.18626086986033,wave,wave,wave
330,wave,10.5505330988172,21.2530396317542,18.8510122783673,-7.27437188206279,10.5286199283243,wave,wave,wave
331,wave,10.4285059354952,20.5263098825542,18.6604817956834,-7.21017880308824,10.3384567087572,wave,wave,wave
332,wave,10.4746486655209,21.0441772203896,18.9759910419329,-7.47936927711008,10.1890391393737,wave,wave,wave
